skill,category,level
Speech Recognition,AI/ML,Advanced
Network Monitoring,DevOps,Intermediate
Chaos Engineering,DevOps,Advanced
Disaster Recovery,DevOps,Advanced
Backup and Restore,DevOps,Intermediate
SLA Management,DevOps,Intermediate
Capacity Planning,DevOps,Advanced
Configuration Management,DevOps,Intermediate
Secret Management,DevOps,Advanced
Vault,DevOps,Advanced
Artifact Management,DevOps,Intermediate
Nexus Repository,DevOps,Intermediate
IAM Roles,Cloud,Advanced
Cloud Cost Management,Cloud,Intermediate
Elastic Load Balancer,Cloud,Intermediate
CDN,Cloud,Intermediate
Object Storage,Cloud,Core
Cloud Networking,Cloud,Advanced
API Management,Cloud,Intermediate
ERP Integration,Tools,Advanced
Version Control,Tools,Core
Code Quality Tools,Tools,Intermediate
Swagger,Tools,Intermediate
OpenAPI,Tools,Intermediate
